date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:30:37	23345/23345	---M-Z	200	added ('OK')	text/html	date:Wed,%2005%20May%202021%2012:28:20%20GMT	https://ngetemplates.com/mshop/mshop/	C:/My%20Web%20Sites/my%20project/ngetemplates.com/mshop/mshop/index.html	(from )
10:30:37	796/796	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2016%20Mar%202024%2005:00:37%20GMT	https://ngetemplates.com/robots.txt		(from )
10:30:37	154427/154427	---M-Z	200	added ('OK')	text/css	date:Wed,%2008%20Jul%202020%2013:43:05%20GMT	https://ngetemplates.com/mshop/mshop/css/materialize.css	C:/My%20Web%20Sites/my%20project/ngetemplates.com/mshop/mshop/css/materialize.css	(from https://ngetemplates.com/mshop/mshop/)
10:30:37	29062/29062	---M-Z	200	added ('OK')	text/css	date:Wed,%2008%20Jul%202020%2013:43:05%20GMT	https://ngetemplates.com/mshop/mshop/font-awesome/css/font-awesome.min.css	C:/My%20Web%20Sites/my%20project/ngetemplates.com/mshop/mshop/font-awesome/css/font-awesome.min.css	(from https://ngetemplates.com/mshop/mshop/)
10:30:37	7279/7279	---M-Z	200	added ('OK')	text/css	date:Wed,%2008%20Jul%202020%2013:43:05%20GMT	https://ngetemplates.com/mshop/mshop/css/normalize.css	C:/My%20Web%20Sites/my%20project/ngetemplates.com/mshop/mshop/css/normalize.css	(from https://ngetemplates.com/mshop/mshop/)
10:30:38	15364/15364	---M-Z	200	added ('OK')	text/css	date:Wed,%2008%20Jul%202020%2013:43:05%20GMT	https://ngetemplates.com/mshop/mshop/css/style.css	C:/My%20Web%20Sites/my%20project/ngetemplates.com/mshop/mshop/css/style.css	(from https://ngetemplates.com/mshop/mshop/)
10:30:38	491/491	---M--	200	added ('OK')	image/png	date:Wed,%2008%20Jul%202020%2013:43:05%20GMT	https://ngetemplates.com/mshop/mshop/img/favicon.png	C:/My%20Web%20Sites/my%20project/ngetemplates.com/mshop/mshop/img/favicon.png	(from https://ngetemplates.com/mshop/mshop/)
10:30:38	23345/23345	---M-Z	200	added ('OK')	text/html	date:Wed,%2005%20May%202021%2012:28:20%20GMT	https://ngetemplates.com/mshop/mshop/index.html	C:/My%20Web%20Sites/my%20project/ngetemplates.com/mshop/mshop/index-2.html	(from https://ngetemplates.com/mshop/mshop/)
10:30:38	10732/10732	---M-Z	200	added ('OK')	text/html	date:Wed,%2005%20May%202021%2012:28:14%20GMT	https://ngetemplates.com/mshop/mshop/single-product.html	C:/My%20Web%20Sites/my%20project/ngetemplates.com/mshop/mshop/single-product.html	(from https://ngetemplates.com/mshop/mshop/)
10:30:39	8139/8139	---M-Z	200	added ('OK')	text/html	date:Wed,%2005%20May%202021%2012:28:22%20GMT	https://ngetemplates.com/mshop/mshop/cart.html	C:/My%20Web%20Sites/my%20project/ngetemplates.com/mshop/mshop/cart.html	(from https://ngetemplates.com/mshop/mshop/)
10:30:39	14222/14222	---M-Z	200	added ('OK')	text/html	date:Wed,%2005%20May%202021%2012:28:20%20GMT	https://ngetemplates.com/mshop/mshop/checkout.html	C:/My%20Web%20Sites/my%20project/ngetemplates.com/mshop/mshop/checkout.html	(from https://ngetemplates.com/mshop/mshop/)
10:30:39	6821/6821	---M-Z	200	added ('OK')	text/html	date:Wed,%2005%20May%202021%2012:27:22%20GMT	https://ngetemplates.com/mshop/mshop/blog.html	C:/My%20Web%20Sites/my%20project/ngetemplates.com/mshop/mshop/blog.html	(from https://ngetemplates.com/mshop/mshop/)
10:30:39	7419/7419	---M-Z	200	added ('OK')	text/html	date:Wed,%2005%20May%202021%2012:28:20%20GMT	https://ngetemplates.com/mshop/mshop/single-blog.html	C:/My%20Web%20Sites/my%20project/ngetemplates.com/mshop/mshop/single-blog.html	(from https://ngetemplates.com/mshop/mshop/)
10:30:39	5323/5323	---M-Z	200	added ('OK')	text/html	date:Wed,%2005%20May%202021%2012:28:22%20GMT	https://ngetemplates.com/mshop/mshop/about-us.html	C:/My%20Web%20Sites/my%20project/ngetemplates.com/mshop/mshop/about-us.html	(from https://ngetemplates.com/mshop/mshop/)
10:30:40	6087/6087	---M-Z	200	added ('OK')	text/html	date:Wed,%2005%20May%202021%2012:28:20%20GMT	https://ngetemplates.com/mshop/mshop/contact.html	C:/My%20Web%20Sites/my%20project/ngetemplates.com/mshop/mshop/contact.html	(from https://ngetemplates.com/mshop/mshop/)
10:30:40	5387/5387	---M-Z	200	added ('OK')	text/html	date:Wed,%2005%20May%202021%2012:28:20%20GMT	https://ngetemplates.com/mshop/mshop/login.html	C:/My%20Web%20Sites/my%20project/ngetemplates.com/mshop/mshop/login.html	(from https://ngetemplates.com/mshop/mshop/)
10:30:40	5461/5461	---M-Z	200	added ('OK')	text/html	date:Wed,%2005%20May%202021%2012:28:20%20GMT	https://ngetemplates.com/mshop/mshop/register.html	C:/My%20Web%20Sites/my%20project/ngetemplates.com/mshop/mshop/register.html	(from https://ngetemplates.com/mshop/mshop/)
10:30:41	91504/91504	---M--	200	added ('OK')	image/png	date:Wed,%2008%20Jul%202020%2013:43:05%20GMT	https://ngetemplates.com/mshop/mshop/img/cart1.png	C:/My%20Web%20Sites/my%20project/ngetemplates.com/mshop/mshop/img/cart1.png	(from https://ngetemplates.com/mshop/mshop/)
